Id,Id2,Geography,2010,2011,2012,2013,2014,2015
0400000US01,1,Alabama,4785161,4801108,4816089,4830533,4846411,4858979
0400000US02,2,Alaska,714021,722720,731228,737442,737046,738432
0400000US04,4,Arizona,6408208,6468732,6553262,6630799,6728783,6828065
0400000US05,5,Arkansas,2922394,2938538,2949499,2957957,2966835,2978204
0400000US06,6,California,37334079,37700034,38056055,38414128,38792291,39144818
0400000US08,8,Colorado,5048254,5119480,5191731,5271132,5355588,5456574
0400000US09,9,Connecticut,3579717,3589759,3593541,3597168,3594762,3590886
0400000US10,10,Delaware,899791,907916,917099,925353,935968,945934
0400000US11,11,District of Columbia,605126,620472,635342,649540,659836,672228
0400000US12,12,Florida,18849890,19105533,19352021,19594467,19905569,20271272
0400000US13,13,Georgia,9713454,9812280,9917639,9991562,10097132,10214860
0400000US15,15,Hawaii,1363980,1378227,1392641,1408765,1420257,1431603
0400000US16,16,Idaho,1570986,1584134,1596097,1612785,1634806,1654930
0400000US17,17,Illinois,12841249,12861882,12875167,12889580,12882189,12859995
0400000US18,18,Indiana,6490590,6516845,6538283,6570518,6597880,6619680
0400000US19,19,Iowa,3050694,3065389,3076636,3092224,3109481,3123899
0400000US20,20,Kansas,2858824,2869917,2886281,2894630,2902507,2911641
0400000US21,21,Kentucky,4347937,4367882,4382667,4398500,4412617,4425092
0400000US22,22,Louisiana,4544951,4575381,4603676,4627491,4648990,4670724
0400000US23,23,Maine,1327695,1328257,1328888,1328778,1330256,1329328
0400000US24,24,Maryland,5788409,5844171,5890740,5936040,5975346,6006401
0400000US25,25,Massachusetts,6565036,6611797,6657780,6708810,6755124,6794422
0400000US26,26,Michigan,9877369,9876589,9886879,9900506,9916306,9922576
0400000US27,27,Minnesota,5310903,5348119,5380443,5420541,5457125,5489594
0400000US28,28,Mississippi,2970316,2977999,2985660,2990976,2993443,2992333
0400000US29,29,Missouri,5996052,6010587,6025468,6043708,6063827,6083672
0400000US30,30,Montana,990643,997746,1005157,1014402,1023252,1032949
0400000US31,31,Nebraska,1830025,1842383,1855973,1869300,1882980,1896190
0400000US32,32,Nevada,2703440,2718819,2754874,2790366,2838281,2890845
0400000US33,33,New Hampshire,1316708,1318344,1321393,1322660,1327996,1330608
0400000US34,34,New Jersey,8803881,8842934,8874893,8907384,8938844,8958013
0400000US35,35,New Mexico,2064741,2078226,2084792,2086890,2085567,2085109
0400000US36,36,New York,19402920,19523202,19606981,19691032,19748858,19795791
0400000US37,37,North Carolina,9558979,9651025,9747021,9845432,9940387,10042802
0400000US38,38,North Dakota,674530,685326,702265,723626,740040,756927
0400000US39,39,Ohio,11540766,11545442,11551783,11572232,11596998,11613423
0400000US40,40,Oklahoma,3759596,3786626,3817679,3853405,3879610,3911338
0400000US41,41,Oregon,3837972,3868509,3899444,3928030,3971202,4028977
0400000US42,42,Pennsylvania,12712014,12745202,12772789,12783536,12793767,12802503
0400000US44,44,Rhode Island,1053219,1051856,1052393,1052856,1054907,1056298
0400000US45,45,South Carolina,4635894,4672733,4721341,4768498,4829160,4896146
0400000US46,46,South Dakota,816299,824289,834631,845270,853304,858469
0400000US47,47,Tennessee,6356585,6398408,6455469,6496130,6547779,6600299
0400000US48,48,Texas,25244363,25654464,26089741,26500674,26979078,27469114
0400000US49,49,Utah,2775426,2816440,2856343,2903685,2944498,2995919
0400000US50,50,Vermont,625984,626687,626398,627129,626767,626042
0400000US51,51,Virginia,8025787,8110783,8193374,8267875,8328098,8382993
0400000US53,53,Washington,6743060,6823229,6897292,6973281,7063166,7170351
0400000US54,54,West Virginia,1854225,1854948,1856283,1852985,1848751,1844128
0400000US55,55,Wisconsin,5690204,5709720,5726422,5743653,5759432,5771337
0400000US56,56,Wyoming,564516,567768,577080,583131,584304,586107
0400000US72,72,Puerto Rico,3721526,3678736,3634487,3593079,3534888,3474182
